x y z radius(mm) netWorkbenchLabel netName integrativePercent
23.67 -75.48 -27.62 4 1 DefaultMode 25
-4.5 -51 -39 4 1 DefaultMode 0
8.56 -50.39 -37.87 4 1 DefaultMode 0
0.71 -73.38 -25.17 4 2 Visual 0
-8.75 -77.03 -28.43 4 3 FrontoParietal 0
10.32 -77.24 -28.02 4 3 FrontoParietal 0
-31.25 -70.75 -47.53 4 3 FrontoParietal 0
33.62 -71.45 -46.11 4 3 FrontoParietal 5
-28.31 -65.37 -30.09 4 3 FrontoParietal 0
31 -63 -29 4 3 FrontoParietal 0
39.02 -45.05 -34.98 4 3 FrontoParietal 40
42.25 -60.44 -28.22 4 8 Salience 5.3
-40.74 -59.53 -30.03 4 8 Salience 25
-31.45 -42.28 -42.09 4 9 CinguloOpercular 40
-30.33 -50.75 -48.25 4 9 CinguloOpercular 3
-4.66 -73.04 -41.38 4 10 SomatomotorDorsal 15.7
8.15 -71.32 -38.15 4 10 SomatomotorDorsal 30
-9.03 -61.98 -18.09 4 11 SomatomotorLateral 0
10.05 -62.19 -17.67 4 11 SomatomotorLateral 0
-11.01 -44.84 -17.14 4 10 SomatomotorDorsal 35
11.89 -45.09 -16.64 4 10 SomatomotorDorsal 11.1
